#raw fastq2 quality distribution
Pos	Q0	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q29	Q30	Q31	Q32	Q33	Q34	Q35	Q36	Q37	Q38	Q39	Q40	Mean	Median	Lower quartile	Upper quartile	10th percentile	90th percentile
139	0	6	10	8	5	10	10	10	8	8	7	8	10	11	11	4	7	16	20	15	22	17	21	24	12	34	29	36	50	43	56	75	121	150	274	239	145	83	60	50	4	30.00	33	29	35	19	37
140	0	8	10	10	6	16	8	12	14	4	8	10	11	16	8	13	8	11	9	14	13	12	17	29	16	24	31	17	44	60	74	75	113	177	227	220	194	97	62	27	4	30.00	33	29	35	17	37
141	0	4	10	9	11	13	11	6	15	8	15	20	14	16	5	15	11	7	13	16	15	14	13	20	26	21	30	23	40	38	81	80	107	174	254	239	161	69	57	45	3	30.00	33	29	35	16	37
142	0	7	15	7	7	10	4	12	7	3	7	13	13	7	7	19	9	10	11	8	19	19	19	29	17	28	33	38	40	42	81	75	113	126	244	258	185	82	51	48	6	30.00	34	29	35	19	37
143	0	7	16	4	15	20	9	14	8	5	10	13	11	9	5	8	10	12	13	13	26	13	19	29	26	25	21	23	44	43	86	79	113	139	247	220	183	81	67	42	1	30.00	33	29	35	17	37
144	0	4	8	4	10	10	9	8	12	10	9	9	7	4	9	11	8	7	22	21	25	14	16	18	22	28	34	24	47	56	66	78	134	176	235	219	192	80	40	40	3	30.00	33	29	35	19	36
145	0	8	6	12	13	11	8	11	10	6	16	13	15	10	14	13	14	13	15	12	19	19	26	23	23	30	29	32	42	42	73	85	132	127	240	228	166	72	56	44	1	29.00	33	28	35	16	37
146	0	2	6	13	4	12	14	9	6	9	12	9	14	17	12	10	16	7	12	5	18	20	16	21	25	29	22	40	49	54	66	77	105	172	260	221	177	75	45	43	5	30.00	33	29	35	18	36
147	0	6	12	8	7	11	14	10	10	10	6	8	9	9	7	13	8	10	17	18	20	15	15	19	26	29	21	48	50	43	70	65	134	167	248	232	163	79	47	39	6	30.00	33	28	35	18	36
148	0	2	9	6	12	12	9	10	9	14	12	11	18	5	13	12	7	13	16	16	16	19	20	21	29	25	29	33	42	69	75	79	119	167	237	227	168	59	49	36	4	29.00	33	28	35	17	36
149	0	3	6	7	9	16	5	13	10	16	10	12	15	11	17	15	10	13	13	12	15	14	34	26	20	34	28	38	49	51	63	72	109	149	212	244	173	92	41	46	6	29.00	33	28	35	16	37
150	0	3	17	11	9	22	12	8	11	11	14	13	12	9	9	15	14	13	20	15	13	20	11	21	25	35	25	37	48	45	58	83	101	158	241	219	180	75	51	42	3	29.00	33	28	35	15	36
#clean fastq2 quality distribution
Pos	Q0	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q29	Q30	Q31	Q32	Q33	Q34	Q35	Q36	Q37	Q38	Q39	Q40	Mean	Median	Lower quartile	Upper quartile	10th percentile	90th percentile
1	0	0	1	1	1	1	1	1	2	3	0	1	3	1	3	0	3	4	0	1	3	3	4	6	5	13	5	12	18	16	30	46	74	167	355	400	253	164	53	69	6	34.00	35	34	36	31	37
2	0	0	0	1	0	1	1	1	3	0	4	0	1	1	2	2	3	1	3	4	5	5	2	3	7	7	11	10	18	27	32	43	75	134	346	426	270	142	45	88	5	34.00	35	34	36	31	37
3	0	0	0	0	0	4	1	1	2	0	1	0	1	3	2	0	3	9	7	2	9	3	6	8	5	8	12	19	21	19	31	46	90	162	344	382	267	136	60	62	3	33.00	35	33	36	30	37
4	0	0	1	0	0	1	2	1	0	1	1	3	1	3	2	1	3	2	2	3	2	2	4	9	9	9	8	20	15	22	35	33	113	142	345	353	263	163	67	79	9	34.00	35	33	36	31	37
5	0	0	1	2	1	2	0	1	0	0	1	1	0	1	0	0	2	0	9	5	1	5	8	8	8	14	12	20	17	21	38	43	88	175	326	383	263	143	55	69	6	33.00	35	33	36	30	37
6	0	0	0	0	3	2	1	1	0	1	5	3	2	3	3	5	1	5	4	7	3	4	5	6	4	7	8	16	20	19	24	55	79	149	310	376	279	153	66	93	7	33.00	35	33	36	31	37
7	0	0	1	0	1	3	0	0	3	0	1	2	3	4	1	5	2	2	5	2	8	2	7	6	6	11	13	9	18	19	33	55	101	156	320	411	233	142	59	82	3	33.00	35	33	36	31	37
8	0	1	1	0	2	2	3	2	4	3	1	1	4	1	1	1	3	2	5	7	3	1	11	4	5	14	6	13	21	14	32	34	115	148	316	394	246	170	60	65	13	33.00	35	33	36	31	37
9	0	0	2	1	1	2	3	1	2	1	3	1	0	0	2	3	3	4	6	4	9	5	8	6	6	8	9	11	17	19	38	39	93	145	337	394	246	159	51	84	6	33.00	35	33	36	30	37
10	0	0	2	0	0	2	1	0	2	2	1	1	6	3	3	2	1	3	1	6	2	5	2	7	4	11	12	7	21	20	30	53	102	164	351	399	235	134	51	79	4	33.00	35	33	36	31	37
11	0	0	0	0	1	2	1	0	3	1	1	0	3	0	2	2	1	1	3	4	3	7	7	8	11	9	13	15	19	13	30	41	94	141	346	360	264	166	63	90	4	34.00	35	33	36	31	37
12	0	0	1	1	2	1	1	3	1	1	2	1	4	3	3	3	4	1	4	1	3	7	6	12	6	13	13	17	23	30	28	55	91	160	325	372	252	144	57	71	7	33.00	35	33	36	30	37
13	0	0	2	2	0	1	2	1	2	1	0	2	0	1	2	2	0	1	5	3	3	4	3	3	6	10	8	14	18	32	35	36	94	149	348	402	246	151	51	79	10	34.00	35	33	36	31	37
14	0	0	0	2	1	1	1	1	4	1	0	4	4	3	2	1	2	6	5	2	3	4	8	5	8	9	7	14	19	17	30	47	95	145	328	372	259	157	57	92	13	33.00	35	33	36	31	37
15	0	0	0	2	0	4	1	1	2	1	0	3	2	4	6	4	5	4	4	4	6	9	5	7	9	8	10	10	15	26	34	45	95	163	326	378	259	140	61	71	5	33.00	35	33	36	30	37
16	0	0	2	3	0	2	3	2	3	3	2	2	5	2	2	2	3	4	3	4	2	7	7	7	7	7	12	19	16	15	38	57	112	165	327	384	232	134	63	62	9	33.00	35	33	36	30	37
17	0	0	0	0	2	2	2	1	2	3	0	2	0	2	1	7	3	3	5	4	7	5	6	12	9	15	11	18	18	21	43	46	88	139	364	359	247	138	52	84	8	33.00	35	33	36	30	37
18	0	0	0	3	0	0	0	4	0	2	0	1	2	5	2	2	1	0	5	6	4	2	6	7	8	15	9	23	13	25	31	37	93	154	332	376	258	149	70	72	12	33.00	35	33	36	30	37
19	0	0	0	2	1	0	1	1	3	1	2	0	3	3	4	2	0	5	3	5	6	4	7	6	4	10	9	16	17	27	51	41	108	156	326	361	251	156	51	77	9	33.00	35	33	36	30	37
20	0	0	0	0	0	2	1	2	1	1	0	1	1	2	3	6	2	9	8	6	8	7	9	11	7	12	9	18	19	22	37	50	85	161	345	369	254	135	55	68	3	33.00	35	33	36	30	37
21	0	0	2	1	0	2	3	1	1	0	2	3	0	0	2	4	4	3	9	8	4	7	8	9	8	10	8	10	25	16	54	60	95	150	315	370	233	166	50	71	15	33.00	35	33	36	30	37
22	0	0	1	0	1	2	3	2	2	2	2	2	1	1	7	2	0	2	3	3	9	6	12	11	9	11	11	9	30	31	33	42	79	168	313	368	262	150	50	77	12	33.00	35	33	36	29	37
23	0	1	1	0	1	0	0	1	2	0	1	5	3	2	2	0	3	8	2	4	4	3	4	5	4	15	11	18	19	29	33	52	98	146	342	356	243	148	69	88	6	33.00	35	33	36	30	37
24	0	0	2	2	1	2	0	2	3	1	3	3	3	5	3	3	5	2	6	8	3	4	11	11	11	18	12	15	15	28	48	41	93	142	326	341	257	143	72	79	5	33.00	35	33	36	29	37
25	0	1	0	2	0	1	0	0	0	3	2	2	3	3	1	4	2	7	4	7	7	4	2	6	10	11	11	6	14	28	44	36	93	147	326	379	258	151	74	75	5	33.00	35	33	36	30	37
26	0	0	0	0	1	4	0	4	2	3	2	3	5	2	2	2	2	3	4	3	6	8	6	10	7	9	10	11	18	30	38	50	107	178	347	350	209	142	57	88	6	33.00	34	33	36	30	37
27	0	0	1	0	0	1	2	3	3	2	0	1	1	6	3	2	5	1	3	4	2	5	7	6	7	6	17	17	27	20	33	36	104	134	352	384	261	142	45	81	5	33.00	35	33	36	30	37
28	0	0	3	0	2	2	1	2	4	2	1	4	5	1	3	4	5	3	4	9	11	16	7	7	8	9	8	21	26	20	27	53	105	158	325	322	266	152	60	67	6	33.00	35	33	36	29	37
29	0	1	1	1	1	1	2	1	6	2	3	4	3	5	1	4	2	2	4	5	4	2	6	10	10	15	6	15	16	21	56	54	83	151	300	388	269	141	53	74	6	33.00	35	33	36	30	37
30	0	0	1	1	1	0	0	2	0	1	0	2	3	2	2	3	2	2	4	6	8	10	5	7	4	14	11	14	16	21	50	51	109	144	343	355	276	112	60	78	9	33.00	35	33	36	30	37
31	0	1	2	3	2	0	1	4	3	1	0	4	1	3	3	5	1	1	3	3	13	4	8	7	8	12	13	14	21	26	39	52	103	163	336	340	253	147	62	59	8	33.00	35	33	36	30	37
32	0	0	2	1	0	3	2	2	2	1	2	3	4	4	3	3	7	2	4	5	12	8	8	5	9	16	11	15	28	18	45	60	86	171	309	337	248	148	58	79	8	33.00	35	33	36	29	37
33	0	0	2	1	1	2	0	0	0	0	1	2	6	3	2	6	6	4	5	4	4	10	9	5	6	8	4	17	16	17	33	45	90	178	312	371	280	140	72	64	3	33.00	35	33	36	30	37
34	0	0	0	0	0	3	3	3	3	1	0	3	5	4	2	5	4	9	10	4	6	9	5	8	10	17	15	6	25	23	32	38	98	149	330	342	266	147	66	73	5	33.00	35	33	36	29	37
35	0	1	0	0	1	4	1	1	1	1	3	2	2	3	4	4	4	4	3	8	4	9	6	7	10	9	12	11	18	37	35	40	100	158	327	348	229	164	59	90	9	33.00	35	33	36	30	37
36	0	0	0	1	3	0	1	2	2	2	1	1	6	3	3	7	6	5	7	5	8	6	12	15	15	12	13	20	20	30	33	59	94	142	339	346	241	143	57	65	4	33.00	34	33	36	28	37
37	0	0	0	3	1	4	0	1	6	0	1	3	2	7	2	3	3	5	3	5	4	7	7	13	11	12	4	17	26	29	42	54	104	154	302	358	257	139	60	75	5	33.00	35	33	36	29	37
38	0	0	1	0	4	1	1	1	2	1	1	3	2	2	3	5	4	4	2	2	8	8	5	10	11	14	15	18	23	30	42	49	94	179	305	345	247	140	65	75	7	33.00	35	33	36	29	37
39	0	0	0	3	1	3	0	3	4	2	2	2	2	5	3	2	2	4	6	4	3	6	8	9	10	11	14	21	23	27	35	49	104	141	324	361	245	134	57	93	6	33.00	35	33	36	29	37
40	0	0	1	4	1	3	3	0	3	2	2	1	3	0	4	3	4	3	5	5	8	3	10	8	10	15	19	15	18	22	42	44	117	162	314	353	245	146	55	71	5	33.00	35	33	36	29	37
41	0	0	0	0	1	2	2	3	2	1	3	1	0	4	5	2	2	2	2	3	6	4	6	11	7	22	20	13	24	23	27	62	105	154	342	366	234	130	44	89	5	33.00	35	33	36	30	37
42	0	1	2	1	3	5	4	4	3	3	1	2	5	2	2	4	2	6	6	7	2	3	7	18	14	14	15	19	20	30	47	68	84	162	319	330	228	154	57	69	6	33.00	34	33	36	28	37
43	0	1	3	0	0	2	2	2	3	2	2	4	1	1	6	8	9	1	7	7	6	7	7	12	18	14	18	16	16	27	35	48	85	160	296	391	231	143	55	78	5	33.00	35	33	36	28	37
44	0	0	2	2	1	1	2	2	2	1	2	2	6	0	3	6	3	6	3	6	5	9	6	6	3	9	11	21	20	22	44	43	109	134	328	343	261	146	73	79	7	33.00	35	33	36	30	37
45	0	1	1	1	1	8	2	2	1	1	4	3	4	2	5	2	4	6	3	7	4	8	5	13	10	9	17	14	16	32	37	38	95	155	317	378	232	130	63	87	11	33.00	35	33	36	29	37
46	0	0	0	1	1	1	1	2	2	1	3	3	5	2	4	4	3	6	5	7	5	3	8	13	9	19	19	20	23	28	55	57	91	163	293	339	236	139	71	82	5	33.00	35	33	36	29	37
47	0	1	0	0	4	1	3	4	2	2	2	2	3	1	3	8	6	8	2	7	9	7	6	12	8	17	7	15	27	28	40	53	90	157	344	345	245	117	71	67	5	33.00	34	33	36	29	37
48	0	1	4	1	2	3	3	0	3	2	0	3	1	4	2	2	2	7	9	9	6	8	6	14	9	13	9	15	25	27	31	53	93	152	303	387	236	145	56	73	10	33.00	35	33	36	29	37
49	0	0	0	0	2	1	1	3	4	4	4	1	2	2	2	2	2	7	3	4	7	3	9	9	12	12	18	13	17	20	43	53	114	141	326	340	243	158	62	77	8	33.00	35	33	36	30	37
50	0	0	0	2	3	5	4	3	3	1	1	0	2	4	5	2	1	8	2	4	7	7	8	17	13	23	12	21	22	27	37	55	102	146	318	355	235	149	52	69	4	33.00	34	33	36	28	37
51	0	0	1	0	0	2	1	5	2	0	2	3	2	1	3	4	4	4	7	3	11	4	5	8	8	8	15	17	19	24	42	56	116	156	313	367	235	140	57	80	4	33.00	35	33	36	30	37
52	0	0	1	6	1	2	1	2	2	2	4	1	1	2	10	3	4	1	3	6	7	5	11	9	11	17	10	15	20	28	52	61	101	127	288	368	248	148	58	84	9	33.00	35	33	36	29	37
53	0	1	2	3	2	8	2	4	4	1	1	4	1	4	1	8	4	5	7	8	6	5	4	6	9	11	15	18	20	34	38	42	110	132	298	358	265	125	67	90	6	33.00	35	33	36	29	37
54	0	1	1	3	1	4	6	5	3	0	0	3	1	5	3	2	5	5	10	4	13	7	5	13	11	8	19	19	20	34	38	51	101	143	295	352	248	149	54	76	11	33.00	35	33	36	28	37
55	0	0	1	2	0	3	1	2	4	1	1	0	7	5	3	4	2	8	4	5	10	8	13	7	11	12	15	22	18	27	50	62	100	152	306	341	266	108	72	67	9	33.00	34	33	36	29	37
56	0	0	2	3	1	3	0	0	0	0	3	5	1	3	4	4	4	2	7	4	14	7	3	15	9	8	13	21	15	30	29	56	93	164	297	382	265	134	56	64	8	33.00	35	33	36	29	37
57	0	0	2	2	1	2	1	4	4	2	2	4	2	4	2	4	4	4	6	3	7	6	13	6	14	15	12	15	18	26	39	67	96	169	291	354	241	145	51	85	6	33.00	35	33	36	29	37
58	0	1	1	3	3	3	1	2	5	4	3	3	4	4	7	1	4	5	4	13	10	0	9	5	11	23	18	15	24	26	37	67	101	155	330	342	232	116	55	76	6	33.00	34	33	36	28	37
59	0	0	3	1	0	6	1	1	5	1	1	3	7	3	2	4	2	2	5	5	7	9	10	13	6	10	14	28	24	27	41	48	95	172	318	342	235	134	69	68	7	33.00	34	33	36	28	37
60	0	0	3	1	2	1	1	4	1	1	2	3	4	7	1	9	3	5	2	2	5	4	10	6	9	11	16	18	17	33	39	64	93	137	320	356	249	138	72	76	4	33.00	35	33	36	29	37
61	0	1	1	5	4	4	4	3	1	1	4	0	2	0	6	5	4	4	9	3	5	6	10	11	9	17	8	23	22	35	48	54	109	153	314	320	252	137	64	63	8	33.00	34	33	36	29	37
62	0	0	1	2	2	4	3	3	6	3	4	2	8	3	8	6	3	7	5	5	9	8	12	15	16	15	15	21	26	34	56	63	108	152	299	322	235	124	51	66	7	32.00	34	32	36	27	37
63	0	0	1	1	0	3	4	3	5	3	2	6	4	5	6	5	7	10	8	8	8	8	2	21	14	16	18	16	21	24	50	70	97	143	317	321	235	125	52	81	9	32.00	34	32	36	27	37
64	0	1	1	2	1	2	3	3	4	1	2	2	2	2	4	6	2	3	3	2	6	8	6	4	13	7	17	15	23	31	34	47	98	172	301	370	261	137	59	68	6	33.00	35	33	36	29	37
65	0	0	1	1	3	1	1	6	3	1	3	1	4	6	4	5	7	9	8	10	7	7	11	12	14	15	18	20	18	26	45	47	96	143	328	351	240	116	58	77	6	33.00	34	33	36	27	37
66	0	1	1	3	0	6	2	4	6	2	2	5	3	6	5	5	2	6	5	4	5	6	7	10	12	13	20	12	34	21	49	53	104	135	302	354	248	129	75	66	6	33.00	35	33	36	28	37
67	0	1	0	1	2	2	3	0	3	3	3	4	1	4	5	5	5	5	7	7	3	11	5	11	18	15	12	18	26	29	51	66	103	166	303	301	281	121	53	68	7	33.00	34	33	36	28	37
68	0	1	1	4	3	6	0	5	6	3	1	4	4	3	3	6	4	5	8	6	10	7	10	12	20	13	16	18	27	39	56	56	133	144	274	291	243	134	76	70	7	32.00	34	32	36	27	37
69	0	2	3	0	3	3	1	1	5	1	6	5	2	3	5	5	4	5	4	10	6	10	3	8	6	16	12	13	22	30	40	55	103	141	301	378	267	122	54	65	9	33.00	35	33	36	29	37
70	0	0	0	1	0	2	5	5	3	4	5	6	9	7	3	2	2	3	10	12	3	8	9	13	16	13	8	22	24	36	53	70	112	147	292	327	232	138	56	65	6	32.00	34	32	36	28	37
71	0	0	1	5	0	3	3	5	5	4	5	8	4	5	6	4	6	2	5	4	7	5	10	16	10	21	9	29	21	22	55	67	103	166	305	313	224	137	61	66	7	32.00	34	32	36	27	37
72	0	1	0	1	3	4	2	2	3	3	4	4	6	6	7	6	7	4	4	7	10	10	7	15	16	18	18	21	26	26	43	55	104	149	285	356	221	117	76	79	3	32.00	34	32	36	27	37
73	0	0	2	3	3	3	4	1	5	3	2	6	5	2	4	5	3	4	5	3	7	4	5	11	12	17	9	13	26	27	45	47	116	160	321	331	248	121	70	71	5	33.00	34	33	36	29	37
74	0	1	1	4	2	4	2	4	1	4	1	1	1	4	10	1	5	4	7	6	5	11	12	15	12	17	17	19	23	29	42	71	114	169	295	345	214	125	61	61	9	32.00	34	32	36	28	37
75	0	0	0	3	1	4	5	5	4	4	1	5	4	5	5	6	4	2	4	6	9	12	8	9	10	20	22	24	32	26	67	54	103	149	301	313	222	135	65	73	7	32.00	34	32	36	27	37
76	0	0	2	2	0	4	5	5	2	3	6	6	3	1	3	8	8	10	8	3	9	9	10	12	7	17	11	21	27	35	47	74	118	156	310	302	210	145	57	67	6	32.00	34	32	36	27	37
77	0	0	2	2	1	2	5	3	5	2	3	8	8	6	5	9	7	4	6	7	12	10	10	7	11	14	20	21	29	34	62	56	118	149	250	324	223	131	73	84	6	32.00	34	32	36	27	37
78	0	1	2	3	3	4	6	2	1	8	3	4	3	6	4	6	3	6	4	8	7	9	13	17	16	21	12	24	27	28	41	72	111	148	331	314	219	113	53	70	6	32.00	34	32	36	27	37
79	0	1	3	2	2	10	4	5	6	1	5	2	4	5	5	12	8	3	5	7	8	21	14	3	11	15	15	26	28	37	48	68	99	156	301	306	233	127	67	50	6	32.00	34	32	36	26	37
80	0	0	2	7	4	10	5	3	5	3	2	4	2	6	8	6	3	2	8	4	10	10	13	13	10	15	21	35	39	28	49	62	100	164	290	328	196	126	58	73	5	32.00	34	32	36	26	37
81	0	2	2	5	1	2	3	6	5	3	6	6	3	5	3	6	4	5	5	7	8	10	13	13	20	17	23	24	32	30	50	58	124	153	279	334	231	123	47	58	3	32.00	34	32	36	26	37
82	0	0	4	3	1	1	2	7	3	7	5	5	3	4	4	1	7	2	6	13	8	9	14	12	12	13	14	22	28	38	51	50	92	158	291	325	219	150	58	84	3	32.00	34	32	36	27	37
83	0	2	3	3	1	5	2	4	2	2	3	4	2	1	5	4	1	6	1	8	8	6	17	17	17	13	12	23	27	24	43	66	104	164	290	347	227	127	55	78	5	33.00	34	32	36	28	37
84	0	1	2	6	2	5	1	0	8	4	3	4	4	6	5	5	2	4	9	7	14	10	15	11	12	12	14	23	33	31	49	55	130	156	304	296	230	116	70	65	5	32.00	34	32	36	27	37
85	0	1	2	5	0	2	5	4	11	1	7	1	3	6	9	6	7	2	5	9	6	7	14	10	16	19	12	26	26	34	54	71	113	166	301	300	211	112	65	78	2	32.00	34	32	36	27	37
86	0	0	5	1	5	8	2	5	4	2	6	9	7	4	6	9	3	7	4	7	7	11	8	7	15	15	22	22	35	25	62	71	112	146	290	303	226	120	63	73	2	32.00	34	32	36	26	37
87	0	0	2	3	2	4	4	2	3	4	5	3	4	6	9	4	5	7	10	11	8	12	8	9	19	16	23	23	20	33	53	48	104	160	329	317	210	119	59	63	8	32.00	34	32	36	26	37
88	0	0	3	1	5	6	5	2	3	3	4	5	8	4	7	2	4	7	11	9	8	5	15	11	10	21	13	31	31	44	64	64	111	162	281	301	225	125	61	55	2	32.00	34	32	36	27	37
89	0	1	3	5	6	8	4	2	1	5	3	2	3	5	4	9	8	8	10	4	13	14	17	18	23	20	23	20	26	26	55	68	104	153	271	292	234	117	70	70	4	32.00	34	32	36	24	37
90	0	3	2	5	4	11	3	3	5	3	3	3	11	3	7	7	4	5	6	13	12	9	19	15	16	13	13	24	31	33	65	66	111	183	300	277	202	112	62	63	2	32.00	34	32	36	25	37
91	0	1	2	2	4	5	3	7	1	5	0	5	2	4	6	7	7	9	7	8	12	14	7	9	15	17	23	20	35	31	49	80	126	151	277	293	214	134	66	63	8	32.00	34	32	36	26	37
92	0	1	7	1	4	6	6	3	4	3	5	4	11	4	5	5	6	5	9	4	10	11	7	16	13	27	13	21	33	39	65	53	108	156	309	284	226	123	56	63	3	32.00	34	32	36	25	37
93	0	0	3	3	4	4	8	2	1	2	6	8	5	2	4	10	5	8	6	10	5	11	16	13	16	22	21	25	37	28	48	55	123	173	278	284	214	128	59	76	6	32.00	34	32	36	25	37
94	0	0	3	2	1	11	2	3	7	3	1	5	3	6	4	5	5	4	14	4	17	9	13	14	9	18	25	23	27	35	45	76	131	163	296	259	240	121	47	75	3	32.00	34	32	36	26	37
95	0	0	6	0	3	4	3	3	1	3	5	6	5	12	3	5	7	7	18	6	10	10	12	16	28	25	19	31	32	17	54	56	121	161	302	277	211	125	59	61	5	32.00	34	32	36	24	37
96	0	2	4	5	1	4	3	5	2	4	2	7	9	12	7	3	5	4	7	9	14	16	14	13	14	29	22	31	34	36	60	56	97	157	294	297	203	110	64	68	5	32.00	34	31	36	25	37
97	0	2	6	2	3	5	4	1	4	5	3	3	4	7	7	5	7	5	10	11	14	9	13	13	22	16	19	21	32	34	53	54	108	184	276	303	211	122	60	65	6	32.00	34	32	36	25	37
98	0	2	3	10	1	14	2	5	8	9	2	2	2	4	6	8	7	6	9	11	10	13	8	21	17	26	24	23	36	36	53	55	108	160	271	289	225	113	57	66	7	32.00	34	31	36	24	37
99	0	4	3	4	2	6	10	6	5	2	11	6	7	6	6	6	10	5	8	5	13	18	18	18	21	22	21	19	21	49	56	66	104	171	286	257	221	114	60	52	10	31.00	34	31	36	23	37
100	0	1	1	2	2	6	11	5	6	3	7	6	4	9	6	8	4	5	12	13	14	9	17	13	17	18	18	32	36	40	57	54	106	175	293	295	205	109	54	54	2	32.00	34	31	35	24	37
101	0	3	7	6	9	6	1	9	9	1	3	5	5	7	7	6	6	9	6	6	8	12	14	9	18	18	19	19	34	33	53	69	129	170	262	292	189	127	64	71	8	32.00	34	32	36	25	37
102	0	2	5	5	2	9	4	4	9	4	2	6	10	2	4	7	5	5	10	12	8	10	10	23	14	19	13	27	25	40	48	63	108	168	305	310	189	111	76	55	0	32.00	34	32	35	25	37
103	0	3	4	5	5	11	6	6	11	5	6	9	7	4	10	6	7	9	7	6	17	12	11	21	18	18	17	18	40	40	43	71	108	164	279	284	201	114	60	60	6	31.00	34	31	36	23	37
104	0	3	1	3	5	4	3	8	7	3	2	7	15	9	8	6	9	8	13	12	13	8	13	16	18	20	28	25	38	34	49	73	107	141	267	326	204	104	67	47	5	31.00	34	31	35	23	37
105	0	1	6	9	3	10	6	4	3	4	6	6	7	5	6	2	7	8	10	12	12	10	19	13	15	12	19	24	40	40	63	72	117	184	271	278	212	102	52	54	5	31.00	34	31	35	24	37
106	0	1	5	6	3	7	1	7	5	5	6	7	3	10	7	6	4	4	7	15	9	11	10	15	15	17	14	32	35	40	57	69	109	163	270	287	217	99	72	73	6	32.00	34	31	36	25	37
107	0	0	5	2	4	9	7	6	1	7	3	9	4	1	5	14	6	2	15	8	12	11	14	19	20	16	18	27	32	31	62	54	107	178	287	288	204	103	59	75	4	32.00	34	32	36	24	37
108	0	0	7	4	6	5	5	7	7	10	3	8	8	10	5	11	6	11	18	12	19	18	12	13	8	29	20	24	29	36	59	82	131	164	263	260	202	103	42	70	2	31.00	34	31	35	21	37
109	0	1	5	7	7	10	6	3	5	4	2	5	11	9	4	12	9	5	6	13	13	9	14	8	18	12	18	29	43	42	46	61	106	153	310	279	199	103	65	71	6	31.00	34	31	36	24	37
110	0	1	6	6	1	8	5	6	3	7	8	5	9	5	7	5	6	13	13	10	12	9	13	16	16	34	29	26	36	30	56	80	100	169	257	272	215	104	62	63	6	31.00	34	31	36	23	37
111	0	2	4	3	7	7	3	3	13	6	5	9	9	5	13	12	4	9	9	7	11	10	13	16	21	20	28	26	31	51	53	72	103	150	296	275	195	119	51	55	3	31.00	34	31	35	23	37
112	0	1	2	6	7	2	4	4	9	7	2	5	5	6	13	8	6	6	14	9	16	4	17	14	19	19	18	33	25	39	61	75	114	160	310	272	212	113	42	45	5	31.00	34	31	35	24	37
113	0	5	2	5	10	8	6	4	11	2	5	9	9	10	5	7	9	13	6	13	16	12	12	16	12	25	35	26	27	31	57	89	121	178	250	263	218	86	64	45	7	31.00	34	31	35	22	37
114	0	2	4	5	6	7	6	6	8	3	5	6	9	9	5	11	15	7	12	14	6	11	15	6	24	23	33	38	30	46	60	79	114	137	265	245	231	106	70	47	3	31.00	34	31	36	23	37
115	0	2	5	4	6	6	6	3	10	5	6	6	8	12	13	5	11	10	11	13	9	11	10	18	20	25	19	33	37	36	57	75	118	167	276	235	220	91	68	59	3	31.00	34	31	36	23	37
116	0	3	3	7	6	14	7	8	5	3	4	9	4	13	7	8	11	15	11	7	10	13	19	21	15	11	26	23	31	50	67	85	107	164	249	264	196	88	69	70	6	31.00	34	31	35	22	37
117	0	1	4	3	3	9	2	8	9	7	5	8	7	5	14	8	8	10	9	11	11	12	17	12	18	15	21	27	43	41	67	63	126	158	272	265	195	97	70	58	10	31.00	34	31	35	23	37
118	0	5	6	4	6	6	7	6	10	5	8	6	13	9	7	8	5	5	9	17	25	9	18	16	13	14	22	27	39	40	67	67	107	175	254	241	211	110	68	60	4	31.00	34	31	36	21	37
119	0	5	9	5	9	3	8	10	9	7	9	9	9	5	9	14	11	7	9	8	16	13	22	15	16	26	17	37	40	44	69	66	112	157	261	260	192	94	58	55	4	31.00	34	30	35	21	37
120	0	3	3	4	7	8	7	9	8	3	6	16	7	10	10	13	8	11	15	13	14	14	14	15	17	16	35	29	32	33	52	72	122	148	278	284	205	97	42	45	4	31.00	34	31	35	20	37
121	0	2	10	12	10	8	8	9	4	7	11	6	13	9	10	10	6	5	16	6	7	16	11	27	32	18	16	19	44	59	70	85	102	180	249	242	185	95	54	51	5	30.00	34	30	35	21	37
122	0	0	8	2	5	4	8	10	9	7	5	7	5	9	11	9	3	10	10	9	15	23	21	18	10	16	15	30	25	29	73	85	128	156	270	250	201	114	62	55	2	31.00	34	31	36	22	37
123	0	2	4	4	6	6	4	6	10	4	5	4	6	4	5	10	5	14	6	6	18	11	14	20	24	16	28	30	37	45	58	82	141	160	235	269	204	111	51	58	6	31.00	34	31	35	23	37
124	0	4	7	6	8	11	7	6	11	6	8	12	6	10	6	7	7	3	9	7	17	20	21	17	14	28	21	32	36	33	59	77	119	149	286	270	188	102	58	37	4	31.00	34	30	35	21	37
125	0	6	3	5	4	9	9	12	8	4	7	5	12	8	7	5	16	10	11	13	24	12	13	18	19	14	23	25	42	42	61	78	134	161	262	238	195	99	55	54	6	31.00	34	30	35	20	37
126	0	2	11	12	5	15	8	8	12	4	10	12	5	6	9	13	10	6	7	9	12	24	17	26	21	23	20	31	29	36	59	77	120	187	244	251	186	102	54	44	2	30.00	34	30	35	20	37
